p,runs,mean_errs_uncoded,mean_errs_coded,mean_errs_uncoded_ratio,mean_errs_coded_ratio,frac_equal_uncoded,frac_equal_coded,orig_len_bits,mean_bytes_to_blocks,mean_encode,mean_uncoded_channel,mean_uncoded_unpack,mean_coded_channel,mean_decode,mean_coded_unpack
0.0,10,0.0,0.0,0.0,0.0,1.0,1.0,8388608,0.20387249999839696,0.21100149999983842,0.23371685000056458,0.19300939000022482,0.2785719899999094,0.35828646999943886,0.19954851000002236
0.0001,10,830.4,0.0,9.899139404296875e-05,0.0,0.0,1.0,8388608,0.20387249999839696,0.21100149999983842,0.22991200000033132,0.19247769999965386,0.27511218000036025,0.35758746999963475,0.1952475599999161
0.001,10,8386.8,0.0,0.000999784469604492,0.0,0.0,1.0,8388608,0.20387249999839696,0.21100149999983842,0.25197198999994724,0.20573298000017531,0.29935761000015193,0.3813198800005921,0.19815620999979727
0.005,10,41830.5,14.5,0.004986584186553955,1.7285346984863281e-06,0.0,0.0,8388608,0.20387249999839696,0.21100149999983842,0.24095687999943038,0.20511833999989904,0.29101176999975,0.373444489999747,0.2022454600002675
0.01,10,83848.7,203.3,0.009995543956756591,2.423524856567383e-05,0.0,0.0,8388608,0.20387249999839696,0.21100149999983842,0.24594790999981342,0.20388656000031916,0.29725423000018053,0.3744291899998643,0.2044651600001089
0.02,10,167721.3,2687.2,0.019993937015533446,0.00032033920288085935,0.0,0.0,8388608,0.20387249999839696,0.21100149999983842,0.24315628999938782,0.1952114599993365,0.28833793999910995,0.35407241999964756,0.20073318000067958
0.05,10,419185.3,67518.9,0.0499707818031311,0.008048880100250243,0.0,0.0,8388608,0.20387249999839696,0.21100149999983842,0.24142868000089948,0.19741896000050474,0.2885076800004754,0.3676376399998844,0.1978331700000126
0.1,10,838805.4,510054.4,0.09999339580535889,0.06080322265625,0.0,0.0,8388608,0.20387249999839696,0.21100149999983842,0.2496819600008166,0.20466379999998024,0.31525418999954125,0.3982505699998001,0.19880521000050067
0.15,10,1258534.5,1242214.5,0.1500290036201477,0.14808350801467896,0.0,0.0,8388608,0.20387249999839696,0.21100149999983842,0.24677951999947254,0.19745675000049231,0.3021792999992613,0.3915976199994475,0.19333870000045864
0.2,10,1677524.1,1950901.7,0.19997645616531373,0.23256560564041137,0.0,0.0,8388608,0.20387249999839696,0.21100149999983842,0.25906151000053795,0.2042312099994888,0.32874489999994694,0.41043505999878105,0.2055874899997434
0.3,10,2516918.2,2902907.2,0.3000400304794312,0.3460535049438477,0.0,0.0,8388608,0.20387249999839696,0.21100149999983842,0.2597501700001885,0.1993249699993612,0.32201837000029626,0.4081608199994662,0.19702645000033953
0.4,10,3355342.6,3563445.8,0.3999880075454712,0.4247958421707153,0.0,0.0,8388608,0.20387249999839696,0.21100149999983842,0.26769254999962866,0.197790110000642,0.34300794000046153,0.4086097500006872,0.19912301000040317
0.5,10,4194193.5,4193656.2,0.49998682737350464,0.499922776222229,0.0,0.0,8388608,0.20387249999839696,0.21100149999983842,0.2714700200001971,0.2002198200003477,0.347596060000069,0.4005283699993015,0.20294233999920835
0.6,10,5032655.9,4825829.7,0.5999393343925477,0.5752837300300598,0.0,0.0,8388608,0.20387249999839696,0.21100149999983842,0.27837565000008907,0.1992622999994637,0.3577376999994158,0.40259471999997914,0.1994622199999867
