p,errs_uncoded,errs_coded,errs_uncoded_ratio,errs_coded_ratio,equal_uncoded,equal_coded,orig_len_bits,bytes_to_blocks,encode,uncoded_channel,uncoded_unpack,coded_channel,decode,coded_unpack
0.0,0,0,0.0,0.0,True,True,8388608,0.20387249999839696,0.21100149999983842,0.2208602000027895,0.18895500000144239,0.2810570000001462,0.36805400000230293,0.18942099999912898
0.0,0,0,0.0,0.0,True,True,8388608,0.20387249999839696,0.21100149999983842,0.248668500000349,0.18867020000107004,0.2886216000006243,0.35577989999728743,0.2229522999987239
0.0,0,0,0.0,0.0,True,True,8388608,0.20387249999839696,0.21100149999983842,0.23960739999893121,0.1871754999992845,0.2696066999997129,0.36093759999857866,0.18911260000095353
0.0,0,0,0.0,0.0,True,True,8388608,0.20387249999839696,0.21100149999983842,0.22640789999786648,0.19267369999943185,0.2748277999999118,0.3514125999972748,0.19816680000076303
0.0,0,0,0.0,0.0,True,True,8388608,0.20387249999839696,0.21100149999983842,0.23733270000229822,0.19175220000033733,0.27915719999873545,0.3515436000016052,0.20229880000260891
0.0,0,0,0.0,0.0,True,True,8388608,0.20387249999839696,0.21100149999983842,0.24256340000283672,0.2014116999998805,0.2750820000001113,0.3745587000012165,0.19841749999977765
0.0,0,0,0.0,0.0,True,True,8388608,0.20387249999839696,0.21100149999983842,0.22665500000221073,0.19475500000044121,0.2862457999981416,0.36234759999933885,0.19322959999772138
0.0,0,0,0.0,0.0,True,True,8388608,0.20387249999839696,0.21100149999983842,0.23482999999760068,0.1925766999993357,0.27953120000165654,0.35850159999972675,0.21043060000010883
0.0,0,0,0.0,0.0,True,True,8388608,0.20387249999839696,0.21100149999983842,0.23888129999977536,0.19856269999945653,0.2796844999975292,0.35656879999805824,0.19243659999847296
0.0,0,0,0.0,0.0,True,True,8388608,0.20387249999839696,0.21100149999983842,0.221362100000988,0.19356120000156807,0.2719061000025249,0.3431602999989991,0.19901930000196444
0.0001,812,0,9.679794311523438e-05,0.0,False,True,8388608,0.20387249999839696,0.21100149999983842,0.23267150000174297,0.20682229999874835,0.26382200000080047,0.3510509000007005,0.2013571999996202
0.0001,807,0,9.620189666748047e-05,0.0,False,True,8388608,0.20387249999839696,0.21100149999983842,0.22362729999804287,0.1858226000003924,0.2725242000014987,0.3660338000008778,0.1984548000000359
0.0001,785,0,9.357929229736328e-05,0.0,False,True,8388608,0.20387249999839696,0.21100149999983842,0.23520859999916865,0.1978796000003058,0.30921930000113207,0.3892766999997548,0.195690000000468
0.0001,821,0,9.78708267211914e-05,0.0,False,True,8388608,0.20387249999839696,0.21100149999983842,0.2297915000017383,0.18594510000184528,0.27085629999783123,0.35686019999775453,0.2049345000014
0.0001,816,0,9.72747802734375e-05,0.0,False,True,8388608,0.20387249999839696,0.21100149999983842,0.2309662000006938,0.19543909999993048,0.2658525999977428,0.3635270999984641,0.1900988999987021
0.0001,838,0,9.989738464355469e-05,0.0,False,True,8388608,0.20387249999839696,0.21100149999983842,0.22958319999816013,0.1804139000014402,0.2885753000009572,0.3459283000011055,0.18926880000071833
0.0001,861,0,0.00010263919830322266,0.0,False,True,8388608,0.20387249999839696,0.21100149999983842,0.23106690000349772,0.19600079999872833,0.2698768000009295,0.3477614999974321,0.1978464999992866
0.0001,851,0,0.00010144710540771484,0.0,False,True,8388608,0.20387249999839696,0.21100149999983842,0.2328161999976146,0.19045789999654517,0.27073660000314703,0.35198289999971166,0.1879620999970939
0.0001,866,0,0.00010323524475097656,0.0,False,True,8388608,0.20387249999839696,0.21100149999983842,0.22880150000128197,0.18718359999911627,0.27405240000007325,0.34235350000017206,0.19383569999990868
0.0001,847,0,0.00010097026824951172,0.0,False,True,8388608,0.20387249999839696,0.21100149999983842,0.22458710000137216,0.19881209999948624,0.26560629999949015,0.36109980000037467,0.19302710000192747
0.001,8415,0,0.0010031461715698242,0.0,False,True,8388608,0.20387249999839696,0.21100149999983842,0.23222059999898192,0.1964187999983551,0.2696064000010665,0.35582789999898523,0.1987578999978723
0.001,8489,0,0.001011967658996582,0.0,False,True,8388608,0.20387249999839696,0.21100149999983842,0.2340425000002142,0.18477420000272105,0.27692019999813056,0.3558210000010149,0.19750370000110706
0.001,8380,0,0.0009989738464355469,0.0,False,True,8388608,0.20387249999839696,0.21100149999983842,0.2262741000013193,0.1864534000014828,0.2734673000013572,0.3629885000009381,0.19147270000030403
0.001,8518,0,0.0010154247283935547,0.0,False,True,8388608,0.20387249999839696,0.21100149999983842,0.2516101000001072,0.19814299999779905,0.31347729999833973,0.39055699999880744,0.1967599000017799
0.001,8309,0,0.0009905099868774414,0.0,False,True,8388608,0.20387249999839696,0.21100149999983842,0.2274011999979848,0.19466660000034608,0.2879869999997027,0.3824574999998731,0.21174099999916507
0.001,8316,0,0.0009913444519042969,0.0,False,True,8388608,0.20387249999839696,0.21100149999983842,0.2637224000027345,0.24219169999923906,0.312221000000136,0.39652360000036424,0.20290120000208844
